"","x"
"1","Ago1"
"2","Alox12b"
"3","Anxa11"
"4","Arhgap39"
"5","Atp2c1"
"6","Bcl6"
"7","Bdnf"
"8","Btbd9"
"9","C1galt1c1"
"10","Cacybp"
"11","Camkmt"
"12","Cbfb"
"13","Cdh2"
"14","Cemip"
"15","Cenpv"
"16","Cfap300"
"17","Csnk1a1"
"18","Ctr9"
"19","Cttn"
"20","Dcaf6"
"21","Dcakd"
"22","Dgkd"
"23","Dlx1as"
"24","E2f3"
"25","Eif2s1"
"26","Epn2"
"27","Evc2"
"28","Exoc6b"
"29","Fam167a"
"30","Farsb"
"31","Fgd4"
"32","Fosl2"
"33","Furin"
"34","Gmppb"
"35","Gpr161"
"36","Gpr75"
"37","Gse1"
"38","Hectd2"
"39","Hspd1"
"40","Il1rap"
"41","Iqgap2"
"42","Itsn2"
"43","Jazf1"
"44","Kat7"
"45","Kcnd3"
"46","Khdrbs3"
"47","Klf13"
"48","Lratd2"
"49","Lrfn2"
"50","Lrp8"
"51","Me1"
"52","Metrnl"
"53","Mical2"
"54","Mrps30"
"55","Mylip"
"56","Nck2"
"57","Ncoa4"
"58","Ncs1"
"59","Neurod6"
"60","Nhsl1"
"61","Noct"
"62","Nrp1"
"63","Ogfrl1"
"64","Ostc"
"65","Parp1"
"66","Pcdh8"
"67","Pgbd5"
"68","Pip4p2"
"69","Plekhg5"
"70","Ptgs2"
"71","Relb"
"72","Rps27l"
"73","Slc66a2"
"74","Srpr"
"75","Sstr4"
"76","St13"
"77","Stim2"
"78","Strip1"
"79","Tbc1d8b"
"80","Tjp2"
"81","Tmed4"
"82","Tmem200a"
"83","Tnks1bp1"
"84","Ube2w"
"85","Vav2"
"86","Wdfy2"
"87","Wdr61"
"88","Yme1l1"
"89","Zdhhc23"
"90","Zfp532"
"91","Zfp719"
"92","Zhx2"
